epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7383750081062317,0.6525156497955322,0.001,0.767380952835083,0.5556660890579224
1,0.7898035645484924,0.514779806137085,0.001,0.7926190495491028,0.5069319605827332
2,0.8071964383125305,0.467317670583725,0.001,0.8066666722297668,0.4599105715751648
3,0.8198928833007812,0.43275392055511475,0.001,0.8359524011611938,0.4006795883178711
4,0.8311071395874023,0.40648260712623596,0.001,0.8264285922050476,0.41823872923851013
5,0.8375178575515747,0.3878231942653656,0.001,0.8278571367263794,0.39487186074256897
6,0.8424999713897705,0.3742905557155609,0.001,0.845714271068573,0.36270734667778015
7,0.8491071462631226,0.35909444093704224,0.001,0.8445237874984741,0.3570611774921417
8,0.850732147693634,0.3495420515537262,0.001,0.8538095355033875,0.3435575067996979
9,0.8543928861618042,0.34286558628082275,0.001,0.8473809361457825,0.3538317382335663
10,0.8568035960197449,0.338724285364151,0.001,0.8471428751945496,0.3533431589603424
11,0.8564107418060303,0.3348773419857025,0.001,0.8519047498703003,0.3426894247531891
12,0.8606964349746704,0.3269479274749756,0.001,0.8595238327980042,0.3296895921230316
13,0.8623214364051819,0.32129237055778503,0.001,0.8604761958122253,0.335682213306427
14,0.864767849445343,0.31714174151420593,0.001,0.8504762053489685,0.3416439890861511
15,0.8637321591377258,0.3158477246761322,0.001,0.8523809313774109,0.34727510809898376
16,0.876464307308197,0.27754637598991394,0.0005,0.8676190376281738,0.3022809326648712
17,0.8820714354515076,0.26857343316078186,0.0005,0.8733333349227905,0.2957865595817566
18,0.8840892910957336,0.26386189460754395,0.0005,0.8704761862754822,0.29565560817718506
19,0.8843035697937012,0.26036351919174194,0.0005,0.8742856979370117,0.28944647312164307
20,0.8849642872810364,0.2591569423675537,0.0005,0.866190493106842,0.2978222668170929
21,0.8856428861618042,0.2574652135372162,0.0005,0.8688095211982727,0.29878005385398865
22,0.8883392810821533,0.2498965859413147,0.0005,0.8721428513526917,0.2907313108444214
23,0.8965356945991516,0.22967343032360077,0.00025,0.8719047904014587,0.2921086251735687
24,0.8977500200271606,0.22662027180194855,0.00025,0.875,0.2871652841567993
25,0.8993392586708069,0.2242269665002823,0.00025,0.8766666650772095,0.28643926978111267
26,0.8994643092155457,0.2212556153535843,0.00025,0.8719047904014587,0.29576411843299866
27,0.901285707950592,0.2184918075799942,0.00025,0.8738095164299011,0.3014618754386902
28,0.9015178680419922,0.2172406017780304,0.00025,0.8723809719085693,0.304813414812088
29,0.9067678451538086,0.20536889135837555,0.000125,0.8738095164299011,0.2899482250213623
30,0.9073214530944824,0.20373886823654175,0.000125,0.8707143068313599,0.3033972382545471
31,0.9076428413391113,0.20153650641441345,0.000125,0.8735714554786682,0.30085670948028564
32,0.9107678532600403,0.19430479407310486,6.25e-05,0.8742856979370117,0.30240046977996826
