epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7362678647041321,0.6541855335235596,0.001,0.790238082408905,0.5121519565582275
1,0.7903749942779541,0.5101671814918518,0.001,0.8097618818283081,0.45349180698394775
2,0.8101785778999329,0.4605661630630493,0.001,0.825952410697937,0.41999202966690063
3,0.8229643106460571,0.4279693365097046,0.001,0.8271428346633911,0.4139689803123474
4,0.8329285979270935,0.4045846462249756,0.001,0.829285740852356,0.39563167095184326
5,0.8369285464286804,0.38700953125953674,0.001,0.8407142758369446,0.37309905886650085
6,0.8430356979370117,0.36976388096809387,0.001,0.8473809361457825,0.36634406447410583
7,0.8463035821914673,0.3578287661075592,0.001,0.8471428751945496,0.3511991798877716
8,0.8501964211463928,0.3490869700908661,0.001,0.8442857265472412,0.36121684312820435
9,0.8539285659790039,0.3424094617366791,0.001,0.8604761958122253,0.34577444195747375
10,0.8565714359283447,0.33631137013435364,0.001,0.8611904978752136,0.33120137453079224
11,0.8578571677207947,0.33136293292045593,0.001,0.8554762005805969,0.3355652987957001
12,0.8603214025497437,0.32611724734306335,0.001,0.8652380704879761,0.3146265745162964
13,0.862553596496582,0.31839725375175476,0.001,0.8635714054107666,0.32247400283813477
14,0.8643035888671875,0.313187837600708,0.001,0.8557142615318298,0.3414486348628998
15,0.8644464015960693,0.31347396969795227,0.001,0.8569047451019287,0.33462396264076233
16,0.8792678713798523,0.27432048320770264,0.0005,0.8799999952316284,0.29024481773376465
17,0.882178544998169,0.2662237584590912,0.0005,0.8742856979370117,0.2910807430744171
18,0.8841249942779541,0.2617122530937195,0.0005,0.8733333349227905,0.29427534341812134
19,0.8847500085830688,0.2592567205429077,0.0005,0.8700000047683716,0.30132871866226196
20,0.8936607241630554,0.2384233921766281,0.00025,0.8754761815071106,0.2938040792942047
21,0.8962321281433105,0.2316846251487732,0.00025,0.8738095164299011,0.29521092772483826
22,0.8967857360839844,0.22969196736812592,0.00025,0.875,0.29966360330581665
23,0.9015178680419922,0.21865534782409668,0.000125,0.883809506893158,0.2815811038017273
24,0.9035535454750061,0.21469241380691528,0.000125,0.8821428418159485,0.28545621037483215
25,0.9033928513526917,0.21468913555145264,0.000125,0.8792856931686401,0.2887043058872223
26,0.9036071300506592,0.21186046302318573,0.000125,0.8823809623718262,0.29027441143989563
27,0.9071785807609558,0.20674198865890503,6.25e-05,0.8802381157875061,0.2906741797924042
28,0.9076964259147644,0.2036464810371399,6.25e-05,0.8769047856330872,0.29622554779052734
29,0.9078928828239441,0.2023600935935974,6.25e-05,0.8778571486473083,0.2979513704776764
30,0.9107142686843872,0.19939857721328735,3.125e-05,0.8773809671401978,0.29489046335220337
